campaign,cost,click,conversion,pCTR,pCVR,density_cvr,ad_id
6228543,0.810706749338,0,0,0.40556551952005654,3.001312423480552e-08,3.7020937915360125e-05,1
30801593,0.0100355102297,1,0,0.600862618260162,6.602808342286411e-08,0.006579444583440771,2
25419531,0.0155235520181,0,0,0.09188047424568208,5.319138803721569e-08,0.0034264959446907587,3
2576437,0.01,1,0,0.23790017715403056,1.3005557632228646e-08,0.0013005557632228646,4
15398570,0.14593333635300001,1,0,0.5171895707213887,1.3952730898294735e-08,9.561030568467438e-05,5
12947794,0.0250029191375,0,0,0.2140170445126866,1.807522515097575e-08,0.0007229245933874208,6
30801593,0.0107576590887,0,0,0.1540848580625145,7.074637836150098e-08,0.0065763729616431146,7
32368244,0.01,0,0,0.4426272877045195,6.657611181802434e-08,0.006657611181802433,8
14289571,0.10204400199800001,1,0,0.4432579003801891,9.48882855879063e-09,9.298761684176797e-05,9
31772643,0.038009154446,0,0,0.29128237440045274,7.293724796566401e-08,0.0019189389774320479,10
